,lema,animacy,gender,finale,n_syll,soft0
0,гроб,1,1,б,1,1
1,лес,1,1,с,1,1
2,лес,1,1,с,1,1
3,лес,1,1,с,1,1
4,год,1,1,д,1,1
5,год,1,1,д,1,1
6,год,1,1,д,1,1
7,год,1,1,д,1,1
8,мост,1,1,т,1,1
9,год,1,1,д,1,1
10,год,1,1,д,1,1
11,год,1,1,д,1,1
12,год,1,1,д,1,1
13,год,1,1,д,1,1
14,год,1,1,д,1,1
15,год,1,1,д,1,1
16,дом,1,1,м,1,1
17,год,1,1,д,1,1
18,год,1,1,д,1,1
19,год,1,1,д,1,1
20,год,1,1,д,1,1
21,год,1,1,д,1,1
22,год,1,1,д,1,1
23,год,1,1,д,1,1
24,год,1,1,д,1,1
25,пол,1,1,л,1,1
26,год,1,1,д,1,1
27,лес,1,1,с,1,1
28,лес,1,1,с,1,1
29,лес,1,1,с,1,1
30,лес,1,1,с,1,1
31,лес,1,1,с,1,1
32,берег,1,1,г,2,1
33,берег,1,1,г,2,1
34,лес,1,1,с,1,1
35,год,1,1,д,1,1
36,лес,1,1,с,1,1
37,куст,1,1,т,1,1
38,пол,1,1,л,1,1
39,год,1,1,д,1,1
40,лес,1,1,с,1,1
41,пол,1,1,л,1,1
42,гроб,1,1,б,1,1
43,гроб,1,1,б,1,1
44,лес,1,1,с,1,1
45,пол,1,1,л,1,1
46,род,1,1,д,1,1
47,род,1,1,д,1,1
48,лес,1,1,с,1,1
49,лес,1,1,с,1,1
50,год,1,1,д,1,1
51,год,1,1,д,1,1
52,год,1,1,д,1,1
53,угол,1,1,л,2,1
54,век,1,1,к,1,1
55,берег,1,1,г,2,1
56,дом,1,1,м,1,1
57,год,1,1,д,1,1
58,год,1,1,д,1,1
59,год,1,1,д,1,1
60,дом,1,1,м,1,1
61,угол,1,1,л,2,1
62,дом,1,1,м,1,1
63,пруд,1,1,д,1,1
64,лес,1,1,с,1,1
65,год,1,1,д,1,1
66,год,1,1,д,1,1
67,год,1,1,д,1,1
68,год,1,1,д,1,1
69,пол,1,1,л,1,1
70,верх,1,1,х,1,1
71,год,1,1,д,1,1
72,год,1,1,д,1,1
73,год,1,1,д,1,1
74,вид,1,1,д,1,1
75,берег,1,1,г,2,1
76,гроб,1,1,б,1,1
77,пол,1,1,л,1,1
78,пол,1,1,л,1,1
79,год,1,1,д,1,1
80,пол,1,1,л,1,1
81,пол,1,1,л,1,1
82,лес,1,1,с,1,1
83,лес,1,1,с,1,1
84,лес,1,1,с,1,1
85,край,1,1,й,1,1
86,край,1,1,й,1,1
87,глаз,1,1,з,1,1
88,угол,1,1,л,2,1
89,край,1,1,й,1,1
90,штырь,1,1,р',1,0
91,край,1,1,й,1,1
