,lema,animacy,gender,finale,n_syll,accent,soft0
0,год,1,1,д,1,1,1
1,год,1,1,д,1,1,1
2,берег,1,1,г,2,0,1
3,час,1,1,с,1,1,1
4,год,1,1,д,1,1,1
5,лог,1,1,г,1,1,1
6,берег,1,1,г,2,0,1
7,берег,1,1,г,2,0,1
8,берег,1,1,г,2,0,1
9,берег,1,1,г,2,0,1
10,берег,1,1,г,2,0,1
11,котёл,1,1,л,2,0,1
12,котёл,1,1,л,2,0,1
13,котёл,1,1,л,2,0,1
14,пол,1,1,л,1,1,1
15,снег,1,1,г,1,1,1
16,год,1,1,д,1,1,1
17,сад,1,1,д,1,1,1
18,сад,1,1,д,1,1,1
19,пол,1,1,л,1,1,1
20,низ,1,1,з,1,1,1
21,низ,1,1,з,1,1,1
22,дым,1,1,м,1,1,1
23,низ,1,1,з,1,1,1
24,низ,1,1,з,1,1,1
25,низ,1,1,з,1,1,1
26,нос,1,1,с,1,1,1
27,нос,1,1,с,1,1,1
28,нос,1,1,с,1,1,1
29,год,1,1,д,1,1,1
30,год,1,1,д,1,1,1
31,берег,1,1,г,2,0,1
32,год,1,1,д,1,1,1
33,низ,1,1,з,1,1,1
34,дом,1,1,м,1,1,1
35,дом,1,1,м,1,1,1
36,год,1,1,д,1,1,1
37,берег,1,1,г,2,0,1
38,столб,1,1,б,1,0,1
39,низ,1,1,з,1,1,1
40,берег,1,1,г,2,0,1
41,берег,1,1,г,2,0,1
42,берег,1,1,г,2,0,1
43,цеп,1,1,п,1,0,1
44,гуж,1,1,ж,1,0,1
45,шест,1,1,т,1,0,1
46,угол,1,1,л,2,0,1
47,лог,1,1,г,1,1,1
48,бок,1,1,к,1,1,1
49,год,1,1,д,1,1,1
50,лес,1,1,с,1,1,1
51,год,1,1,д,1,1,1
52,берег,1,1,г,2,0,1
53,лёд,1,1,д,1,0,1
54,вал,1,1,л,1,1,1
55,бок,1,1,к,1,1,1
56,бок,1,1,к,1,1,1
57,лес,1,1,с,1,1,1
58,отпуск,1,1,к,2,0,1
59,хрестец,1,1,ц,2,0,1
60,низ,1,1,з,1,1,1
61,год,1,1,д,1,1,1
62,берег,1,1,г,2,0,1
63,квас,1,1,с,1,1,1
64,год,1,1,д,1,1,1
65,ноготь,1,1,т',2,0,0
66,сад,1,1,д,1,1,1
67,горб,1,1,б,1,0,1
68,шест,1,1,т,1,0,1
69,столб,1,1,б,1,0,1
70,низ,1,1,з,1,1,1
71,год,1,1,д,1,1,1
72,год,1,1,д,1,1,1
73,час,1,1,с,1,1,1
74,шест,1,1,т,1,0,1
75,шест,1,1,т,1,0,1
76,круг,1,1,г,1,1,1
77,угол,1,1,л,2,0,1
78,год,1,1,д,1,1,1
79,год,1,1,д,1,1,1
80,угол,1,1,л,2,0,1
81,год,1,1,д,1,1,1
82,рот,1,1,т,1,0,1
83,пол,1,1,л,1,1,1
84,год,1,1,д,1,1,1
85,год,1,1,д,1,1,1
86,год,1,1,д,1,1,1
87,год,1,1,д,1,1,1
88,год,1,1,д,1,1,1
89,год,1,1,д,1,1,1
90,год,1,1,д,1,1,1
91,год,1,1,д,1,1,1
92,год,1,1,д,1,1,1
93,год,1,1,д,1,1,1
94,пол,1,1,л,1,1,1
95,год,1,1,д,1,1,1
96,берег,1,1,г,2,0,1
97,пень,1,1,н',1,0,0
98,пень,1,1,н',1,0,0
99,лёд,1,1,д,1,0,1
100,лес,1,1,с,1,1,1
101,ветер,1,1,р,2,0,1
102,год,1,1,д,1,1,1
103,рот,1,1,т,1,0,1
104,бой,1,1,й,1,1,1
105,лес,1,1,с,1,1,1
