Column1;counter;lema;accent
0;0;колхоз;
1;2.0;посёлок;a
3;0;дом;
5;0;кладбище;
6;1;повойник;a
8;0;стадо;
9;0;поле;
10;0;крест;
12;0;трактор;
13;0;магазин;
14;0;двор;
15;0;декабрь;
16;0;дерево;
17;0;месяц;
18;0;автобус;
19;0;август;
20;0;сбор;
21;0;стол;
22;0;коридор;
23;0;ноябрь;
24;0;начало;
25;0;пирог;
26;0;сельсовет;
27;0;февраль;
28;0;мотоцикл;
29;0;колодец;
30;0;колодезь;
31;0;класс;
32;0;детство;
33;0;госпиталь;
34;0;вид;
36;0;почёт;
37;0;прицеп;
38;0;ребёнок;
39;0;рушник;
40;0;рыг;
41;0;рюкзачок;
42;0;город;
43;0;гараж;
44;0;сон;
45;0;вертолёт;
46;0;стакан;
47;0;стулец;
48;0;тамбур;
49;0;торф;
50;0;ведро;
51;0;укроп;
52;0;бревно;
53;0;хор;
54;0;хребет;
55;0;чердак;
56;0;потолок;
57;0;дежурство;
58;0;полотенчико;
60;0;замок;
61;0;князь;
62;0;курс;
63;0;март;
64;0;местечко;
65;0;место;
66;0;карман;
67;0;мешок;
68;0;мешочек;
69;0;молокозавод;
70;0;журнал;
71;0;конец;
72;0;недостаток;
73;0;желудок;
74;0;огород;
75;0;октябрь;
76;0;плечо;
77;0;дело;
78;0;погрузчик;
79;0;подбуж;
80;0;покос;
81;0;чугун;
82;0;год;
83;0;лес;
84;0;дым;
85;0;ход;
86;0;строй;
87;0;пол;
88;0;край;
89;0;плен;
90;0;лист;
91;0;час;
92;0;стог;
93;0;тыл;
94;0;верх;
95;0;снег;
96;0;сад;
97;1;угол;b
98;0;бой;
99;0;немец;
100;0;бок;
101;1;котелок;b
102;0;долг;
103;0;вор;
104;0;вес;
105;1;народ;a
